ANIMAL	FATHER	MOTHER
9999143	NA	NA
1	NA	NA
4	NA	NA
5	NA	NA
11	NA	NA
12	NA	NA
13	NA	NA
14	NA	NA
19	NA	NA
21	NA	NA
22	NA	NA
23	NA	NA
24	NA	NA
27	NA	NA
28	NA	NA
29	NA	NA
32	NA	NA
34	NA	NA
35	NA	NA
36	NA	NA
39	NA	NA
46	NA	NA
47	NA	NA
48	NA	NA
51	NA	NA
53	NA	NA
54	NA	NA
55	NA	NA
56	NA	NA
57	NA	NA
67	NA	NA
73	NA	NA
74	NA	NA
77	NA	NA
4300	NA	NA
4301	NA	NA
4304	NA	NA
4305	NA	NA
4306	NA	NA
4307	NA	NA
4329	NA	NA
4522	NA	NA
4558	NA	NA
4559	NA	NA
4560	NA	NA
5831	NA	NA
6083	NA	NA
6529	NA	NA
6781	NA	NA
6782	NA	NA
6786	NA	NA
7072	NA	NA
7073	NA	NA
7074	NA	NA
7075	NA	NA
7076	NA	NA
7077	NA	NA
7078	NA	NA
7079	NA	NA
7080	NA	NA
7081	NA	NA
7082	NA	NA
7083	NA	NA
7084	NA	NA
7085	NA	NA
7093	NA	NA
7126	NA	NA
7757	NA	NA
92	NA	NA
95	NA	NA
148	NA	NA
197	NA	NA
202	NA	NA
204	NA	NA
205	NA	NA
209	NA	NA
300	NA	NA
301	NA	NA
303	NA	NA
341	NA	NA
415	NA	NA
416	NA	NA
417	NA	NA
418	NA	NA
420	NA	NA
421	NA	NA
422	NA	NA
423	NA	NA
424	NA	NA
425	NA	NA
426	NA	NA
547	NA	NA
551	NA	NA
552	NA	NA
553	NA	NA
554	NA	NA
555	NA	NA
556	NA	NA
557	NA	NA
558	NA	NA
559	NA	NA
560	NA	NA
562	NA	NA
564	NA	NA
566	NA	NA
567	NA	NA
568	NA	NA
571	NA	NA
572	NA	NA
573	NA	NA
574	NA	NA
575	NA	NA
577	NA	425
743	NA	NA
746	NA	NA
747	NA	NA
748	NA	NA
749	NA	NA
751	NA	NA
752	NA	NA
753	NA	NA
754	NA	NA
755	NA	NA
895	NA	NA
898	NA	NA
899	NA	NA
900	NA	NA
901	NA	NA
902	NA	NA
903	NA	NA
904	NA	415
905	NA	NA
906	NA	NA
907	NA	NA
909	NA	NA
910	NA	NA
1038	NA	NA
1066	NA	NA
1067	NA	NA
1072	NA	NA
1073	NA	NA
1075	NA	NA
1076	NA	NA
1077	NA	572
1078	NA	NA
1079	NA	NA
1080	NA	NA
1081	NA	NA
1082	NA	NA
1083	NA	NA
1089	NA	426
1090	NA	NA
1091	NA	NA
1093	NA	NA
1094	NA	NA
1095	NA	NA
1096	NA	NA
1097	NA	NA
1098	NA	424
1099	NA	NA
1101	NA	NA
1102	NA	NA
1103	NA	NA
1104	NA	NA
1105	NA	NA
1106	NA	NA
1107	NA	NA
1108	NA	NA
1109	NA	NA
1181	NA	NA
1201	NA	418
1203	895	NA
1207	NA	NA
1223	NA	749
1225	NA	NA
1226	NA	NA
1229	NA	NA
1233	NA	NA
1235	NA	NA
1240	NA	NA
1242	NA	905
1243	NA	NA
1244	NA	899
1246	NA	209
1249	NA	573
1251	NA	NA
1252	NA	NA
1255	NA	303
1256	NA	NA
1258	NA	NA
1259	NA	NA
1260	NA	NA
1261	NA	NA
1262	NA	NA
1263	NA	574
1264	NA	1097
1284	NA	NA
1286	NA	NA
1287	NA	904
1288	NA	NA
1289	NA	1105
1315	NA	95
1339	NA	1080
15	NA	NA
17	NA	NA
20	NA	NA
26	NA	NA
1354	NA	202
1355	NA	425
1356	NA	425
1357	NA	901
1361	NA	749
1362	NA	909
1364	NA	197
1367	NA	1094
1368	NA	415
1374	NA	1108
1375	NA	1235
1379	NA	1
1382	NA	1073
1383	NA	4
1384	NA	574
1387	NA	1075
1392	NA	1095
1393	NA	NA
1394	NA	1091
1398	NA	560
1400	NA	573
1403	NA	906
1406	NA	1080
1408	NA	556
1411	NA	418
1423	NA	557
1425	NA	301
1428	NA	1240
1434	NA	204
1436	NA	1207
1438	NA	417
1440	NA	910
1445	NA	1252
1446	NA	1081
1451	NA	1097
1452	NA	1083
1456	NA	416
1457	NA	553
1461	NA	747
1464	NA	558
1465	NA	1258
1468	NA	416
1469	NA	1093
1471	NA	566
1473	NA	92
1474	NA	1229
1475	NA	568
1476	NA	1066
1477	NA	5
1482	NA	95
1483	NA	NA
1485	NA	5
1490	NA	547
1491	NA	559
1497	NA	746
1499	NA	746
1501	NA	907
1502	NA	554
1508	NA	300
1510	NA	551
1514	NA	NA
1517	NA	752
1526	NA	1078
1531	NA	1079
1536	NA	552
1538	NA	1262
1552	NA	NA
1553	NA	NA
1554	NA	751
1568	NA	1225
